,h,p,c,fold_time,param_count
0,0.9073236346809941,0.8675102876703694,0.950967133821757,163,108
1,0.900233259825109,0.872345588760959,0.9299628751261094,164,108
2,0.8307941539843617,0.9354211130511592,0.7472177614385391,161,108
3,0.9108713538590367,0.8454934797342611,0.9872072613684557,158,108
4,0.9044767489331469,0.8331315383333611,0.989185651923348,167,108
5,0.9123926234262291,0.8481410356699207,0.9871769885791317,186,108
6,0.9125005576362551,0.8483275902333395,0.9871769885791317,161,108
7,0.9028754319062141,0.827736670424909,0.9930177787279819,159,108
8,0.9071504536793865,0.8521589249072187,0.9697290168720837,86,108
9,0.8801138494860354,0.8590613807973753,0.9022240788535689,117,108
